Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Los Angeles Angels of Anaheim,98,64,0.605,4.8,3.9,0.9,0.1,1,96-66,2,19-14,24-Sep,43-33,08-Dec,52-29,46-35,07-Oct,27-22,70-44,28-20,41-43,57-21
2,Washington Nationals,96,66,0.593,4.2,3.4,0.8,-0.2,0.7,97-65,-1,45-31,17-16,24-Sep,10-Oct,51-30,45-36,09-Aug,26-22,68-49,28-17,23-23,73-43
3,Baltimore Orioles,96,66,0.593,4.4,3.7,0.7,0.1,0.8,94-68,2,47-29,16-17,21-Dec,08-Dec,50-31,46-35,14-Jun,32-23,74-47,22-19,51-40,45-26
4,Los Angeles Dodgers,94,68,0.58,4.4,3.8,0.6,-0.2,0.4,92-70,2,18-14,15-19,50-26,09-Nov,45-36,49-32,12-Jun,25-20,68-52,26-16,26-33,68-35
5,Detroit Tigers,90,72,0.556,4.7,4.4,0.3,0,0.4,86-76,4,17-15,43-33,18-16,08-Dec,45-36,45-36,06-Jun,23-20,62-50,28-22,49-39,41-33
6,St. Louis Cardinals,90,72,0.556,3.8,3.7,0.1,-0.2,-0.1,83-79,7,17-16,45-31,20-13,12-Aug,51-30,39-42,06-Jul,32-23,69-54,21-18,39-33,51-39
7,Kansas City Royals,89,73,0.549,4,3.9,0.2,0.1,0.2,84-78,5,17-17,39-37,18-14,15-May,42-39,47-34,07-May,22-25,65-52,24-21,44-45,45-28
8,Oakland Athletics,88,74,0.543,4.5,3.5,1,0.1,1.1,99-63,-11,20-Dec,17-17,38-38,13-Jul,48-33,40-41,13-Aug,21-28,64-49,24-25,44-40,44-34
9,Pittsburgh Pirates,88,74,0.543,4.2,3.9,0.3,-0.2,0.1,87-75,1,21-13,36-40,20-Dec,09-Nov,51-30,37-44,07-Aug,31-29,68-61,20-13,33-39,55-35
10,San Francisco Giants,88,74,0.543,4.1,3.8,0.3,-0.2,0.1,87-75,1,22-Dec,16-16,40-36,10-Oct,45-36,43-38,04-Sep,18-22,58-44,30-30,27-31,61-43
